Estado,Region,RegionN,Qt1,Qt2,Qt3,Qt4,TotalExp,year
Queretaro,Centro,4,18.04059,20.32247,20.40332,22.82081,81.58719,2013
Quintana Roo,Sur,5,0.05109,0.11946,0.1835,0.01128,0.36533,2013
San Luis Potosi,Centro-norte,3,18.20947,20.4399,19.55994,19.82734,78.03665,2013
Sinaloa,Norte-occidente,2,1.26587,1.48346,1.31874,1.13637,5.20444,2013
Sonora,Norte,1,41.84639,49.07724,43.12145,44.12058,178.16566,2013
Tabasco,Sur,5,33.87381,31.20015,33.63088,31.80061,130.50545,2013
Tamaulipas,Norte,1,51.29106,57.83404,58.21911,61.94827,229.29248,2013
Tlaxcala,Centro,4,2.87106,3.17074,3.18834,3.15623,12.38637,2013
Veracruz ,Sur,5,18.83945,19.24841,18.26043,18.69118,75.03947,2013
Yucatan,Sur,5,2.76421,2.89644,3.14794,3.3614,12.16999,2013
Zacatecas,Norte-occidente,2,6.28835,8.51891,9.8481,10.23965,34.89501,2013
TotalMX,Mexico,0,792.68653,891.20165,891.23755,900.47109,3475.59682,2014
Aguascalientes,Centro-norte,3,20.18619,20.62915,22.59834,21.2464,84.66008,2014
Baja California,Norte,1,69.36175,87.59343,87.78162,105.29171,350.02851,2014
Baja California Sur,Norte-occidente,2,0.49538,0.4006,0.46115,0.47142,1.82855,2014
Campeche,Sur,5,61.88844,59.94174,57.05026,44.39033,223.27077,2014
Coahuila,Norte,1,79.0454,89.67177,88.2585,91.41359,348.38926,2014
Colima,Centro-norte,3,0.53732,0.60544,0.82204,0.73223,2.69703,2014
Chiapas,Sur,5,3.76551,4.10312,3.52952,3.20812,14.60627,2014
Chihuahua,Norte,1,102.54817,116.5195,115.76001,121.11682,455.9445,2014
Ciudad de Mexico,Centro,4,6.46335,7.23431,7.27667,6.07864,27.05297,2014
Durango,Norte-occidente,2,4.02116,4.82171,5.02415,4.75264,18.61966,2014
Guanajuato,Centro,4,38.22067,41.41964,45.23153,47.17185,172.04369,2014
Guerrero,Sur,5,1.45893,1.20872,1.32113,0.95118,4.93996,2014
Hidalgo,Centro,4,3.65049,4.6276,4.64637,4.29205,17.21651,2014
Jalisco,Centro-norte,3,42.27394,45.57207,48.95206,50.57905,187.37712,2014
Mexico,Centro,4,49.13506,57.79393,60.03133,57.76376,224.72408,2014
Michoacan,Centro-norte,3,2.80421,2.60395,2.92089,2.66414,10.99319,2014
Morelos,Centro,4,8.90068,9.21194,10.25958,9.54366,37.91586,2014
Nayarit,Norte-occidente,2,0.2325,0.31575,0.3238,0.25403,1.12608,2014
Nuevo Leon,Norte,1,68.03424,78.89344,82.735,85.46745,315.13013,2014
Oaxaca,Sur,5,3.02681,3.88897,3.55269,3.12382,13.59229,2014
Puebla,Centro,4,23.93871,29.35982,25.40797,27.23942,105.94592,2014
Queretaro,Centro,4,20.78945,23.62957,23.18682,23.87192,91.47776,2014
Quintana Roo,Sur,5,0.12035,0.02161,0.03911,0.01116,0.19223,2014
San Luis Potosi,Centro-norte,3,19.73368,21.28705,21.96434,21.78326,84.76833,2014
Sinaloa,Norte-occidente,2,1.79474,2.02537,2.06215,1.81482,7.69708,2014
Sonora,Norte,1,37.81521,40.37824,38.64673,39.27866,156.11884,2014
Tabasco,Sur,5,30.92984,30.36092,28.92432,22.73958,112.95466,2014
Tamaulipas,Norte,1,60.75184,70.46509,70.32143,72.44159,273.97995,2014
Tlaxcala,Centro,4,3.0521,3.36109,3.24127,3.1309,12.78536,2014
Veracruz ,Sur,5,17.68908,21.30112,17.30573,16.13202,72.42795,2014
Yucatan,Sur,5,3.06434,3.17596,3.77966,4.2048,14.22476,2014
Zacatecas,Norte-occidente,2,6.95697,8.77901,7.82142,7.31007,30.86747,2014
TotalMX,Mexico,0,800.28821,868.29973,856.99522,846.11879,3371.70195,2015
Aguascalientes,Centro-norte,3,21.18625,21.21267,21.52218,21.03334,84.95444,2015
Baja California,Norte,1,73.69387,93.43771,99.23376,118.05462,384.41996,2015
Baja California Sur,Norte-occidente,2,0.34033,0.42549,0.52595,0.70484,1.99661,2015
Campeche,Sur,5,31.47237,31.48083,28.18983,21.74063,112.88366,2015
Coahuila,Norte,1,86.91692,93.10227,92.238,90.26051,362.5177,2015
Colima,Centro-norte,3,0.65601,0.73582,0.87573,0.61652,2.88408,2015
Chiapas,Sur,5,3.24367,2.81649,2.81257,2.78477,11.6575,2015
Chihuahua,Norte,1,96.80562,99.91213,106.20606,100.10564,403.02945,2015
Ciudad de Mexico,Centro,4,5.78843,6.58534,6.24332,5.90593,24.52302,2015
Durango,Norte-occidente,2,4.37362,4.53465,4.38209,4.23459,17.52495,2015
Guanajuato,Centro,4,49.26147,53.97061,53.16513,51.4811,207.87831,2015
Guerrero,Sur,5,0.94084,0.82324,0.76798,0.81316,3.34522,2015
