Estado,Region,RegionN,Qt1,Qt2,Qt3,Qt4,TotalExp,year
San Luis Potosi,Centro-norte,3,36.91245,38.93644,39.81839,39.64948,155.31676,2019
Sinaloa,Norte-occidente,2,11.92551,7.25957,4.3786,4.83634,28.40002,2019
Sonora,Norte,1,49.84085,55.49746,46.62249,46.44451,198.40531,2019
Tabasco,Sur,5,13.5721,12.73298,11.71421,12.10886,50.12815,2019
Tamaulipas,Norte,1,67.61341,74.45994,75.01052,74.21774,291.30161,2019
Tlaxcala,Centro,4,3.39445,3.78793,3.79011,3.63616,14.60865,2019
Veracruz ,Sur,5,16.5827,18.25588,16.80598,15.32792,66.97248,2019
Yucatan,Sur,5,2.49745,2.84159,2.88427,2.97294,11.19625,2019
Zacatecas,Norte-occidente,2,6.84217,6.52388,7.85787,7.5113,28.73522,2019
TotalMX,Mexico,0,981.44712,652.67884,1000.99245,1107.98729,3743.1057,2020
Aguascalientes,Centro-norte,3,31.00336,13.21203,31.22986,39.05167,114.49692,2020
Baja California,Norte,1,93.20396,75.92156,110.89032,126.57475,406.59059,2020
Baja California Sur,Norte-occidente,2,0.69094,0.72211,0.47823,0.76627,2.65755,2020
Campeche,Sur,5,32.68532,16.40922,26.09361,27.55841,102.74656,2020
Coahuila,Norte,1,116.64425,66.16381,128.36527,138.44236,449.61569,2020
Colima,Centro-norte,3,1.89785,1.85836,1.86228,1.90167,7.52016,2020
Chiapas,Sur,5,2.1755,1.68023,1.58427,1.69909,7.13909,2020
Chihuahua,Norte,1,131.21694,107.41728,149.76729,160.80245,549.20396,2020
Ciudad de Mexico,Centro,4,5.92606,4.51233,5.18711,5.65526,21.28076,2020
Durango,Norte-occidente,2,6.535,5.31128,7.52589,7.47606,26.84823,2020
Guanajuato,Centro,4,67.33104,28.58884,67.56794,76.25792,239.74574,2020
Guerrero,Sur,5,2.4228,1.37787,3.01974,2.82873,9.64914,2020
Hidalgo,Centro,4,4.25182,3.26909,2.38442,2.85425,12.75958,2020
Jalisco,Centro-norte,3,50.73831,43.43939,49.81174,57.00421,200.99365,2020
Mexico,Centro,4,39.20981,23.99081,36.02646,40.86917,140.09625,2020
Michoacan,Centro-norte,3,17.60564,15.18905,10.30338,13.98402,57.08209,2020
Morelos,Centro,4,7.12726,3.48558,7.92406,7.90859,26.44549,2020
Nayarit,Norte-occidente,2,0.61961,0.58083,0.74731,0.54243,2.49018,2020
Nuevo Leon,Norte,1,87.76946,68.6922,87.89144,100.19724,344.55034,2020
Oaxaca,Sur,5,1.43435,1.58354,0.86566,1.45125,5.3348,2020
Puebla,Centro,4,40.29567,9.97283,42.85554,42.08034,135.20438,2020
Queretaro,Centro,4,31.7796,19.16646,30.86648,35.57635,117.38889,2020
Quintana Roo,Sur,5,0.01963,0.01695,0.13789,0.03233,0.2068,2020
San Luis Potosi,Centro-norte,3,35.5154,17.9678,41.46623,41.69686,136.64629,2020
Sinaloa,Norte-occidente,2,12.80046,6.8625,4.39278,4.99679,29.05253,2020
Sonora,Norte,1,51.34412,37.45957,41.02314,47.52724,177.35407,2020
Tabasco,Sur,5,11.77004,6.63011,10.49094,11.84278,40.73387,2020
Tamaulipas,Norte,1,66.65258,47.94279,72.09266,80.22198,266.91001,2020
Tlaxcala,Centro,4,3.83731,3.02341,3.49296,4.13306,14.48674,2020
Veracruz ,Sur,5,15.88763,13.02069,11.76108,12.04356,52.71296,2020
Yucatan,Sur,5,2.52289,1.23209,2.23819,2.59154,8.58471,2020
Zacatecas,Norte-occidente,2,8.53252,5.97822,10.6483,11.41864,36.57768,2020
